commit,auth_date,author,subject,category,priority_idx,git_cherry_pick_cmd
b2f1de4a,2025-12-02,Daniel.y,Merge pull request #2447 from danielaskdd/dependabot,dependabot,15,git cherry-pick b2f1de4a
f93bda58,2025-12-02,yangdx,Enable numpy updates in dependabot configuration,dependabot,15,git cherry-pick f93bda58
a250d881,2025-10-02,yangdx,Update webui assets,webui,16,git cherry-pick a250d881
cec784f6,2025-10-02,yangdx,Update webui assets,webui,16,git cherry-pick cec784f6
1574fec7,2025-10-05,yangdx,Update webui assets,webui,16,git cherry-pick 1574fec7
b5f83767,2025-10-05,yangdx,Update webui assets,webui,16,git cherry-pick b5f83767
d473f635,2025-10-05,yangdx,Update webui assets,webui,16,git cherry-pick d473f635
5734f51e,2025-10-12,Daniel.y,Merge pull request #2198 from danielaskdd/webui,webui,16,git cherry-pick 5734f51e
8a009899,2025-10-12,yangdx,Update webui assets,webui,16,git cherry-pick 8a009899
e1af1c6d,2025-10-12,yangdx,Update webui assets,webui,16,git cherry-pick e1af1c6d
c0b1552e,2025-10-14,yangdx,Remove .gitkeep file by ensuring webui dir exists on bun build,webui,16,git cherry-pick c0b1552e
df52ce98,2025-10-14,yangdx,Revert vite.config.ts to origin version,webui,16,git cherry-pick df52ce98
8070d0cf,2025-10-17,Daniel.y,Merge pull request #2234 from danielaskdd/fix-webui,webui,16,git cherry-pick 8070d0cf
80f2e691,2025-11-09,yangdx,Remove redundant i18n import triggered the Vite “dynamic + static import” warning,webui,16,git cherry-pick 80f2e691
2539b4e2,2025-11-25,Daniel.y,Merge pull request #2418 from danielaskdd/start-without-webui,webui,16,git cherry-pick 2539b4e2
48b67d30,2025-11-25,yangdx,Handle missing WebUI assets gracefully without blocking server startup,webui,16,git cherry-pick 48b67d30
15bfd9fa,2025-12-01,dependabot[bot],Bump the ui-components group in /lightrag_webui with 7 updates,webui,16,git cherry-pick 15bfd9fa
1f3d7006,2025-12-01,dependabot[bot],Bump @stylistic/eslint-plugin-js from 3.1.0 to 4.4.1 in /lightrag_webui,webui,16,git cherry-pick 1f3d7006
245c0c32,2025-12-01,dependabot[bot],Bump the build-tools group in /lightrag_webui with 4 updates,webui,16,git cherry-pick 245c0c32
587a930b,2025-12-01,dependabot[bot],Bump the react group in /lightrag_webui with 3 updates,webui,16,git cherry-pick 587a930b
9ae1c7fc,2025-12-01,dependabot[bot],Bump react-error-boundary from 5.0.0 to 6.0.0 in /lightrag_webui,webui,16,git cherry-pick 9ae1c7fc
e2431b67,2025-12-01,dependabot[bot],Bump @vitejs/plugin-react-swc from 3.11.0 to 4.2.0 in /lightrag_webui,webui,16,git cherry-pick e2431b67
f4acb25c,2025-12-01,dependabot[bot],Bump the frontend-minor-patch group in /lightrag_webui with 6 updates,webui,16,git cherry-pick f4acb25c
09aa8483,2025-12-02,yangdx,Merge branch 'dependabot/bun/lightrag_webui/stylistic/eslint-plugin-js-4.4.1',webui,16,git cherry-pick 09aa8483
0c2a653c,2025-12-02,yangdx,Merge branch 'main' into dependabot/bun/lightrag_webui/vitejs/plugin-react-swc-4.2.0,webui,16,git cherry-pick 0c2a653c
0ca71a57,2025-12-02,dependabot[bot],Bump sonner from 1.7.4 to 2.0.7 in /lightrag_webui,webui,16,git cherry-pick 0ca71a57
0d89cd26,2025-12-02,Daniel.y,Merge pull request #2462 from HKUDS/dependabot/bun/lightrag_webui/faker-js/faker-10.1.0,webui,16,git cherry-pick 0d89cd26
0f045a52,2025-12-02,yangdx,Merge branch 'dependabot/bun/lightrag_webui/vitejs/plugin-react-swc-4.2.0' of github.com:HKUDS/LightRAG into dependabot/bun/lightrag_webui/vitejs/plugin-react-swc-4.2.0,webui,16,git cherry-pick 0f045a52
13a285d4,2025-12-02,Daniel.y,Merge pull request #2451 from HKUDS/dependabot/bun/lightrag_webui/build-tools-0944ec6cea,webui,16,git cherry-pick 13a285d4
19cae272,2025-12-02,Daniel.y,Merge pull request #2463 from HKUDS/dependabot/bun/lightrag_webui/types/node-24.9.2,webui,16,git cherry-pick 19cae272
1d12f497,2025-12-02,dependabot[bot],Bump i18next from 24.2.3 to 25.6.0 in /lightrag_webui,webui,16,git cherry-pick 1d12f497
29bd027a,2025-12-02,dependabot[bot],Bump @vitejs/plugin-react-swc,webui,16,git cherry-pick 29bd027a
2bb9ec13,2025-12-02,dependabot[bot],Bump eslint-plugin-react-hooks from 5.2.0 to 7.0.1 in /lightrag_webui,webui,16,git cherry-pick 2bb9ec13
35c79341,2025-12-02,Daniel.y,Merge pull request #2450 from HKUDS/dependabot/bun/lightrag_webui/ui-components-018be29f1c,webui,16,git cherry-pick 35c79341
42b09b10,2025-12-02,dependabot[bot],Bump globals from 15.15.0 to 16.5.0 in /lightrag_webui,webui,16,git cherry-pick 42b09b10
57d9cc8f,2025-12-02,Daniel.y,Merge pull request #2464 from HKUDS/dependabot/bun/lightrag_webui/react-syntax-highlighter-16.1.0,webui,16,git cherry-pick 57d9cc8f
59b1b58f,2025-12-02,Daniel.y,Merge pull request #2456 from HKUDS/dependabot/bun/lightrag_webui/globals-16.5.0,webui,16,git cherry-pick 59b1b58f
5ca4792c,2025-12-02,dependabot[bot],Bump @faker-js/faker from 9.9.0 to 10.1.0 in /lightrag_webui,webui,16,git cherry-pick 5ca4792c
67d9455c,2025-12-02,Daniel.y,Merge pull request #2466 from HKUDS/dependabot/bun/lightrag_webui/react-i18next-16.2.3,webui,16,git cherry-pick 67d9455c
68bee74d,2025-12-02,dependabot[bot],Bump the frontend-minor-patch group in /lightrag_webui with 2 updates,webui,16,git cherry-pick 68bee74d
6e2f125a,2025-12-02,Daniel.y,Merge pull request #2471 from HKUDS/dependabot/bun/lightrag_webui/frontend-minor-patch-172e1e6fcf,webui,16,git cherry-pick 6e2f125a
7545fa72,2025-12-02,dependabot[bot],Bump vite in /lightrag_webui in the build-tools group,webui,16,git cherry-pick 7545fa72
7f7ce9d3,2025-12-02,dependabot[bot],Bump i18next in /lightrag_webui in the frontend-minor-patch group,webui,16,git cherry-pick 7f7ce9d3
8cdf8a12,2025-12-02,Daniel.y,Merge pull request #2455 from HKUDS/dependabot/bun/lightrag_webui/i18next-25.6.0,webui,16,git cherry-pick 8cdf8a12
964b53e7,2025-12-02,Daniel.y,Merge pull request #2458 from HKUDS/dependabot/bun/lightrag_webui/eslint-plugin-react-hooks-7.0.1,webui,16,git cherry-pick 964b53e7
a47414f7,2025-12-02,Daniel.y,Merge pull request #2461 from HKUDS/dependabot/bun/lightrag_webui/sonner-2.0.7,webui,16,git cherry-pick a47414f7
a8e79a8a,2025-12-02,yangdx,Merge remote-tracking branch 'upstream/dependabot/bun/lightrag_webui/react-error-boundary-6.0.0',webui,16,git cherry-pick a8e79a8a
ab718218,2025-12-02,Daniel.y,Merge pull request #2449 from HKUDS/dependabot/bun/lightrag_webui/react-b0cb288b9e,webui,16,git cherry-pick ab718218
b2b5f80b,2025-12-02,Daniel.y,Merge pull request #2467 from HKUDS/dependabot/bun/lightrag_webui/build-tools-ecae90f21c,webui,16,git cherry-pick b2b5f80b
b38f4dd7,2025-12-02,dependabot[bot],Bump react-syntax-highlighter from 15.6.6 to 16.1.0 in /lightrag_webui,webui,16,git cherry-pick b38f4dd7
bd487a45,2025-12-02,dependabot[bot],Bump @vitejs/plugin-react-swc from 3.11.0 to 4.2.0 in /lightrag_webui,webui,16,git cherry-pick bd487a45
c6c201d7,2025-12-02,Daniel.y,Merge branch 'main' into dependabot/bun/lightrag_webui/frontend-minor-patch-a28ecac770,webui,16,git cherry-pick c6c201d7
d3b5cb63,2025-12-02,dependabot[bot],Bump vite from 6.3.6 to 7.1.12 in /lightrag_webui,webui,16,git cherry-pick d3b5cb63
d5e7b230,2025-12-02,dependabot[bot],Bump @types/node from 22.18.9 to 24.9.2 in /lightrag_webui,webui,16,git cherry-pick d5e7b230
dd4c988b,2025-12-02,dependabot[bot],Bump react-markdown from 9.1.0 to 10.1.0 in /lightrag_webui,webui,16,git cherry-pick dd4c988b
dd95813f,2025-12-02,Daniel.y,Merge pull request #2465 from HKUDS/dependabot/bun/lightrag_webui/react-markdown-10.1.0,webui,16,git cherry-pick dd95813f
ddd32f58,2025-12-02,Daniel.y,Merge pull request #2470 from HKUDS/dependabot/bun/lightrag_webui/build-tools-939f50a5f3,webui,16,git cherry-pick ddd32f58
e20f86a0,2025-12-02,dependabot[bot],Bump react-i18next from 15.7.4 to 16.2.3 in /lightrag_webui,webui,16,git cherry-pick e20f86a0
e429d553,2025-12-02,Daniel.y,Merge pull request #2459 from HKUDS/dependabot/bun/lightrag_webui/frontend-minor-patch-9aaf02af10,webui,16,git cherry-pick e429d553
e547c003,2025-12-02,Daniel.y,Merge pull request #2460 from HKUDS/dependabot/bun/lightrag_webui/vite-7.1.12,webui,16,git cherry-pick e547c003
e7966712,2025-12-02,Daniel.y,Merge pull request #2452 from HKUDS/dependabot/bun/lightrag_webui/frontend-minor-patch-a28ecac770,webui,16,git cherry-pick e7966712
ea826a38,2025-12-02,yangdx,Merge branch 'dependabot/bun/lightrag_webui/vitejs/plugin-react-swc-4.2.0',webui,16,git cherry-pick ea826a38
ffcd75a4,2025-09-29,zl7261,decalre targetNode after check sourceNode,misc,17,git cherry-pick ffcd75a4
1bd84f00,2025-10-01,Roman,Marchuk Merge branch 'main' into fix/dark-mode-graph-text-colors,misc,17,git cherry-pick 1bd84f00
7297ca1d,2025-10-01,Roman,Marchuk Fix dark mode graph labels for system theme and improve colors,misc,17,git cherry-pick 7297ca1d
bb6138e7,2025-10-01,yangdx,fix(prompt): Clarify reference section restrictions in prompt templates,misc,17,git cherry-pick bb6138e7
f83cde14,2025-10-01,yangdx,fix(prompt): Improve markdown formatting requirements and reference style,misc,17,git cherry-pick f83cde14
112349ed,2025-10-02,yangdx,Modernize type hints and remove Python 3.8 compatibility code,misc,17,git cherry-pick 112349ed
181525ff,2025-10-02,yangdx,Merge branch 'main' into zl7261/main,misc,17,git cherry-pick 181525ff
19a41584,2025-10-02,yangdx,Fix linting,misc,17,git cherry-pick 19a41584
1f07d4b1,2025-10-02,yangdx,Remove .env_example from .gitignore,misc,17,git cherry-pick 1f07d4b1
6bf6f43d,2025-10-02,yangdx,Remove bold formatting from instruction headers in prompts,misc,17,git cherry-pick 6bf6f43d
b1a4e7d7,2025-10-02,yangdx,Fix linting,misc,17,git cherry-pick b1a4e7d7
d2196a4e,2025-10-02,yangdx,Merge remote-tracking branch 'origin/main',misc,17,git cherry-pick d2196a4e
d4abe704,2025-10-02,yangdx,Hide dev options in production builds,misc,17,git cherry-pick d4abe704
f6b71536,2025-10-02,yangdx,Merge branch 'main' into fix/dark-mode-graph-text-colors,misc,17,git cherry-pick f6b71536
b9c37bd9,2025-10-03,yangdx,Fix linting,misc,17,git cherry-pick b9c37bd9
cf2a024e,2025-10-04,Jon,feat: Add endpoint and UI to retry failed documents,misc,17,git cherry-pick cf2a024e
0aef6a16,2025-10-05,yangdx,Add theme-aware edge highlighting colors for graph control,misc,17,git cherry-pick 0aef6a16
0c1cb7b7,2025-10-05,yangdx,Improve document tooltip display with track ID and better formatting,misc,17,git cherry-pick 0c1cb7b7
0d694962,2025-10-05,yangdx,Merge branch 'feat/retry-failed-documents-upstream',misc,17,git cherry-pick 0d694962
1b274706,2025-10-05,Daniel.y,Merge pull request #2171 from danielaskdd/doc-name-in-full-docs,misc,17,git cherry-pick 1b274706
4fe41f76,2025-10-05,yangdx,Merge branch 'doc-name-in-full-docs',misc,17,git cherry-pick 4fe41f76
7b1f8e0f,2025-10-05,yangdx,Update scan tooltip to clarify it also reprocesses failed documents,misc,17,git cherry-pick 7b1f8e0f
bf6ca9dd,2025-10-05,yangdx,Add retry failed button translations and standardize button text,misc,17,git cherry-pick bf6ca9dd
d550f1c5,2025-10-05,yangdx,Fix linting,misc,17,git cherry-pick d550f1c5
dad90d25,2025-10-05,Daniel.y,Merge pull request #2170 from danielaskdd/tooltips-optimize,misc,17,git cherry-pick dad90d25
6190fa89,2025-10-06,yangdx,Fix linting,misc,17,git cherry-pick 6190fa89
d8a9617c,2025-10-06,kevinnkansah,fix: fix: asyncpg bouncer connection pool error,misc,17,git cherry-pick d8a9617c
fdcb034d,2025-10-06,kevinnkansah,chore: distinguish settings,misc,17,git cherry-pick fdcb034d
ea5e390b,2025-10-07,Daniel.y,Merge pull request #2178 from aleksvujic/patch-1,misc,17,git cherry-pick ea5e390b
f1e01107,2025-10-07,yangdx,Merge branch 'kevinnkansah/main',misc,17,git cherry-pick f1e01107
9f44e89d,2025-10-08,NeelM0906,Add knowledge graph manipulation endpoints,misc,17,git cherry-pick 9f44e89d
ae9f4ae7,2025-10-09,Yasiru,Rangana fix: Remove trailing whitespace for pre-commit linting,misc,17,git cherry-pick ae9f4ae7
b7c77396,2025-10-09,NeelM0906,Fix entity/relation creation endpoints to properly update vector stores,misc,17,git cherry-pick b7c77396
f6d1fb98,2025-10-09,NeelM0906,Fix Linting errors,misc,17,git cherry-pick f6d1fb98
12facac5,2025-10-10,yangdx,Enhance graph API endpoints with detailed docs and field validation,misc,17,git cherry-pick 12facac5
648d7bb1,2025-10-10,yangdx,Refactor Helm template to handle optional envFrom values safely,misc,17,git cherry-pick 648d7bb1
85d1a563,2025-10-10,yangdx,Merge branch 'adminunblinded/main',misc,17,git cherry-pick 85d1a563
b81b8620,2025-10-10,kevinnkansah,chore: update deps,misc,17,git cherry-pick b81b8620
d0ae7a67,2025-10-10,yangdx,Fix typos and grammar in env.example configuration comments,misc,17,git cherry-pick d0ae7a67
fea10cd0,2025-10-10,yangdx,Merge branch 'chart-enchancment',misc,17,git cherry-pick fea10cd0
1a4d6775,2025-10-11,杨广,i18n: fix mustache brackets,misc,17,git cherry-pick 1a4d6775
49326f2b,2025-10-11,Daniel.y,Merge pull request #2194 from danielaskdd/offline,misc,17,git cherry-pick 49326f2b
766f27da,2025-10-11,Daniel.y,Merge pull request #2193 from kevinnkansah/main,misc,17,git cherry-pick 766f27da
7cddd564,2025-10-11,yangdx,Revert core version to 1.4.9..2,misc,17,git cherry-pick 7cddd564
b7216ede,2025-10-11,yangdx,Fix linting,misc,17,git cherry-pick b7216ede
e1e4f1b0,2025-10-11,yangdx,Fix get_by_ids to return None for missing records consistently,misc,17,git cherry-pick e1e4f1b0
074f0c8b,2025-10-12,yangdx,Update docstring for adelete_by_doc_id method clarity,misc,17,git cherry-pick 074f0c8b
2d9334d3,2025-10-12,yangdx,Simplify Root component by removing async i18n initialization,misc,17,git cherry-pick 2d9334d3
44f51f88,2025-10-12,yangdx,Add fallback value for accordion content height CSS variable,misc,17,git cherry-pick 44f51f88
5290b60e,2025-10-12,Daniel.y,Merge pull request #2196 from zl7261/main,misc,17,git cherry-pick 5290b60e
f2fb1202,2025-10-12,yangdx,Move accordion keyframes from CSS to Tailwind config and add fallback 'auto' value,misc,17,git cherry-pick f2fb1202
6c05f0f8,2025-10-13,yangdx,Fix linting,misc,17,git cherry-pick 6c05f0f8
be9e6d16,2025-10-13,yangdx,Exclude Frontend Build Artifacts from Git Repository,misc,17,git cherry-pick be9e6d16
cc436910,2025-10-13,yangdx,Merge branch 'kevinnkansah/main',misc,17,git cherry-pick cc436910
130b4959,2025-10-14,yangdx,Add PREPROCESSED (multimodal_processed) status for multimodal document processing,misc,17,git cherry-pick 130b4959
4e740af7,2025-10-14,haseebuchiha,Import from env and use default if none and removed useless import,misc,17,git cherry-pick 4e740af7
50210e25,2025-10-14,yangdx,Add @tailwindcss/typography plugin and fix Tailwind config,misc,17,git cherry-pick 50210e25
5ace200b,2025-10-14,Daniel.y,Merge pull request #2208 from danielaskdd/remove-fontend-artifact,misc,17,git cherry-pick 5ace200b
64900b54,2025-10-14,yangdx,Add frontend source code update warning,misc,17,git cherry-pick 64900b54
8bf41131,2025-10-14,yangdx,Standardize build commands and remove --emptyOutDir flag,misc,17,git cherry-pick 8bf41131
92a66565,2025-10-14,Daniel.y,Merge pull request #2211 from HKUDS/add-preprocessed-status,misc,17,git cherry-pick 92a66565
965d8b16,2025-10-14,yangdx,Merge branch 'add-preprocessed-status',misc,17,git cherry-pick 965d8b16
a8bbce3a,2025-10-14,yangdx,Use frozen lockfile for consistent frontend builds,misc,17,git cherry-pick a8bbce3a
d52c3377,2025-10-14,haseebuchiha,Import from env and use default if none and removed useless import,misc,17,git cherry-pick d52c3377
ee45ab51,2025-10-14,yangdx,Move frontend build check from setup.py to runtime server startup,misc,17,git cherry-pick ee45ab51
17c2a929,2025-10-15,DivinesLight,Get max source Id config from .env and lightRAG init,misc,17,git cherry-pick 17c2a929
29bac49f,2025-10-15,yangdx,Handle empty query results by returning None instead of fail responses,misc,17,git cherry-pick 29bac49f
433ec813,2025-10-15,yangdx,Improve offline installation with constraints and version bounds,misc,17,git cherry-pick 433ec813
7f223d5a,2025-10-15,yangdx,Fix linting,misc,17,git cherry-pick 7f223d5a
83b10a52,2025-10-15,Daniel.y,Merge pull request #2218 from danielaskdd/issue-2215,misc,17,git cherry-pick 83b10a52
c06522b9,2025-10-15,DivinesLight,Get max source Id config from .env and lightRAG init,misc,17,git cherry-pick c06522b9
8cc8bbf4,2025-10-16,yangdx,Change Docker build cache mode from max to min,misc,17,git cherry-pick 8cc8bbf4
8e3497dc,2025-10-16,yangdx,Update comments,misc,17,git cherry-pick 8e3497dc
c61b7bd4,2025-10-16,yangdx,Remove torch and transformers from offline dependency groups,misc,17,git cherry-pick c61b7bd4
ef6ed429,2025-10-16,yangdx,Optimize Docker builds with layer caching and add pip for runtime installs,misc,17,git cherry-pick ef6ed429
03333d63,2025-10-17,yangdx,Merge branch 'main' into limit-vdb-metadata-size,misc,17,git cherry-pick 03333d63
04d23671,2025-10-17,yangdx,Fix redoc access problem in front-end dev mode,misc,17,git cherry-pick 04d23671
06ed2d06,2025-10-17,yangdx,Merge branch 'main' into remove-dotenv,misc,17,git cherry-pick 06ed2d06
1642710f,2025-10-17,yangdx,Remove dotenv dependency from project,misc,17,git cherry-pick 1642710f
46ac5dac,2025-10-17,yangdx,Improve API description formatting and add ReDoc link,misc,17,git cherry-pick 46ac5dac
4c3ab584,2025-10-17,yangdx,Improve AsyncSelect layout and text overflow handling,misc,17,git cherry-pick 4c3ab584
6b37d3ca,2025-10-17,yangdx,Merge branch 'feat-entity-size-caps' into limit-vdb-metadata-size,misc,17,git cherry-pick 6b37d3ca
9f49e56a,2025-10-17,yangdx,Merge branch 'main' into feat-entity-size-caps,misc,17,git cherry-pick 9f49e56a
c0a87ca7,2025-10-17,yangdx,Merge branch 'remove-dotenv',misc,17,git cherry-pick c0a87ca7
f45dce34,2025-10-17,yangdx,Fix cache control error of index.html,misc,17,git cherry-pick f45dce34
f5558240,2025-10-17,yangdx,Fix tuple delimiter corruption handling in regex patterns,misc,17,git cherry-pick f5558240
012aaada,2025-10-18,yangdx,Update Swagger API key status description text,misc,17,git cherry-pick 012aaada
813f4af9,2025-10-18,yangdx,Fix linting,misc,17,git cherry-pick 813f4af9
bdadaa67,2025-10-18,yangdx,Merge branch 'main' into limit-vdb-metadata-size,misc,17,git cherry-pick bdadaa67
637b850e,2025-10-20,yangdx,Add truncation indicator and update property labels in graph view,misc,17,git cherry-pick 637b850e
a9fec267,2025-10-20,yangdx,Add file path limit configuration for entities and relations,misc,17,git cherry-pick a9fec267
e01c998e,2025-10-20,yangdx,Track placeholders in file paths for accurate source count display,misc,17,git cherry-pick e01c998e
1248b3ab,2025-10-21,yangdx,Increase default limits for source IDs and file paths in metadata,misc,17,git cherry-pick 1248b3ab
3ad616be,2025-10-21,yangdx,Change default source IDs limit method from KEEP to FIFO,misc,17,git cherry-pick 3ad616be
3ed2abd8,2025-10-21,yangdx,Improve logging to show source ID ratios when skipping entities/edges,misc,17,git cherry-pick 3ed2abd8
665f60b9,2025-10-21,yangdx,Refactor entity/relation merge to consolidate VDB operations within functions,misc,17,git cherry-pick 665f60b9
80668aae,2025-10-21,yangdx,Improve file path truncation labels and UI consistency,misc,17,git cherry-pick 80668aae
a809245a,2025-10-21,yangdx,Preserve file path order by using lists instead of sets,misc,17,git cherry-pick a809245a
aee0afdd,2025-10-21,Daniel.y,Merge pull request #2240 from danielaskdd/limit-vdb-metadata-size,misc,17,git cherry-pick aee0afdd
be3d274a,2025-10-21,yangdx,Refactor node and edge merging logic with improved code structure,misc,17,git cherry-pick be3d274a
cd1c48be,2025-10-21,yangdx,Standardize placeholder format to use colon separator consistently,misc,17,git cherry-pick cd1c48be
fe890fca,2025-10-21,yangdx,Improve formatting of limit method info in rebuild functions,misc,17,git cherry-pick fe890fca
04d9fe02,2025-10-22,xiaojunxiang,Merge branch 'HKUDS:main' into main,misc,17,git cherry-pick 04d9fe02
06533fdb,2025-10-22,Daniel.y,Merge pull request #2248 from danielaskdd/preprocess-rayanything,misc,17,git cherry-pick 06533fdb
20edd329,2025-10-22,Daniel.y,Merge pull request #2244 from danielaskdd/del-doc-cache,misc,17,git cherry-pick 20edd329
3ba1d75c,2025-10-22,Daniel.y,Merge pull request #2243 from xiaojunxiang2023/main,misc,17,git cherry-pick 3ba1d75c
8dc23eef,2025-10-22,yangdx,Fix RayAnything compatible problem,misc,17,git cherry-pick 8dc23eef
904b1f46,2025-10-22,yangdx,Add entity name length truncation with configurable limit,misc,17,git cherry-pick 904b1f46
b76350a3,2025-10-22,yangdx,Fix linting,misc,17,git cherry-pick b76350a3
c92ab837,2025-10-22,yangdx,Fix linting,misc,17,git cherry-pick c92ab837
cf2174b9,2025-10-22,Daniel.y,Merge pull request #2245 from danielaskdd/entity-name-len,misc,17,git cherry-pick cf2174b9
d392db7b,2025-10-22,Daniel.y,Fix typo in 'equipment' in prompt.py,misc,17,git cherry-pick d392db7b
d7e2527e,2025-10-22,yangdx,Handle cache deletion errors gracefully instead of raising exceptions,misc,17,git cherry-pick d7e2527e
f24a2616,2025-10-23,Mobious,Allow users to provide keywords with QueryRequest,misc,17,git cherry-pick f24a2616
78ad8873,2025-10-24,yangdx,Add cancellation check in delete loop,misc,17,git cherry-pick 78ad8873
083b163c,2025-10-25,yangdx,Improve lock logging with consistent messaging and debug levels,misc,17,git cherry-pick 083b163c
11f1f366,2025-10-25,Daniel.y,Merge pull request #2262 from danielaskdd/sort-edge,misc,17,git cherry-pick 11f1f366
3ad4f12f,2025-10-25,Daniel.y,Merge pull request #2259 from danielaskdd/data-migration-problem,misc,17,git cherry-pick 3ad4f12f
5ee9a2f8,2025-10-25,yangdx,Fix entity consistency in knowledge graph rebuilding and merging,misc,17,git cherry-pick 5ee9a2f8
97a2ee4e,2025-10-25,yangdx,Rename rebuild function name and improve relationship logging format,misc,17,git cherry-pick 97a2ee4e
9ed19695,2025-10-25,yangdx,Remove separate retry button and merge functionality into scan button,misc,17,git cherry-pick 9ed19695
a9bc3484,2025-10-25,yangdx,Remove enable_logging parameter from data init lock call,misc,17,git cherry-pick a9bc3484
c82485d9,2025-10-25,Daniel.y,Merge pull request #2253 from Mobious/main,misc,17,git cherry-pick c82485d9
38559373,2025-10-26,yangdx,Fix entity merging to include target entity relationships,misc,17,git cherry-pick 38559373
6015e8bc,2025-10-26,yangdx,Refactor graph utils to use unified persistence callback,misc,17,git cherry-pick 6015e8bc
69b4cda2,2025-10-26,Daniel.y,Merge pull request #2265 from danielaskdd/edit-kg-new,misc,17,git cherry-pick 69b4cda2
bf1897a6,2025-10-26,yangdx,Normalize entity order for undirected graph consistency,misc,17,git cherry-pick bf1897a6
11a1631d,2025-10-27,yangdx,Refactor entity edit and merge functions to support merge-on-rename,misc,17,git cherry-pick 11a1631d
25f829ef,2025-10-27,yangdx,Enable editing of entity_type field in node properties,misc,17,git cherry-pick 25f829ef
411e92e6,2025-10-27,yangdx,Fix vector deletion logging to show actual deleted count,misc,17,git cherry-pick 411e92e6
5155edd8,2025-10-27,yangdx,feat: Improve entity merge and edit UX,misc,17,git cherry-pick 5155edd8
8dfd3bf4,2025-10-27,yangdx,Replace global graph DB lock with fine-grained keyed locking,misc,17,git cherry-pick 8dfd3bf4
97034f06,2025-10-27,yangdx,Add allow_merge parameter to entity update API endpoint,misc,17,git cherry-pick 97034f06
ab32456a,2025-10-27,yangdx,Refactor entity merging with unified attribute merge function,misc,17,git cherry-pick ab32456a
