commit,auth_date,author,subject,category,priority_idx,git_cherry_pick_cmd
dde728a3,2025-10-05,yangdx,Bump core version to 1.5.0 and API to 0236,dependabot,15,git cherry-pick dde728a3
289337b2,2025-10-11,yangdx,Bump API version to 0237,dependabot,15,git cherry-pick 289337b2
79f623a2,2025-10-12,yangdx,Bump core version to 1.4.9.3,dependabot,15,git cherry-pick 79f623a2
f402ad27,2025-10-12,yangdx,Bump API version to 0238,dependabot,15,git cherry-pick f402ad27
a81c122f,2025-10-14,yangdx,Bump API version to 0240,dependabot,15,git cherry-pick a81c122f
f3740d82,2025-10-14,yangdx,Bump API version to 0239,dependabot,15,git cherry-pick f3740d82
91b8722b,2025-10-16,yangdx,Bump core version to 1.4.9.4,dependabot,15,git cherry-pick 91b8722b
7bf9d1e8,2025-10-17,yangdx,Bump API version to 0241,dependabot,15,git cherry-pick 7bf9d1e8
ef4acf53,2025-10-21,dependabot[bot],"Update pandas requirement from <2.3.0,>=2.0.0 to >=2.0.0,<2.4.0",dependabot,15,git cherry-pick ef4acf53
1101562e,2025-10-22,yangdx,Bump API version to 0243,dependabot,15,git cherry-pick 1101562e
fdf0fe04,2025-10-22,yangdx,Bump API version to 0244,dependabot,15,git cherry-pick fdf0fe04
3eb3a075,2025-10-25,yangdx,Bump core version to 1.4.9.5 and API version to 0245,dependabot,15,git cherry-pick 3eb3a075
94f24a66,2025-10-27,yangdx,Bump API version to 0246,dependabot,15,git cherry-pick 94f24a66
f81dd4e7,2025-10-27,dependabot[bot],"Update redis requirement from <7.0.0,>=5.0.0 to >=5.0.0,<8.0.0",dependabot,15,git cherry-pick f81dd4e7
4bf41abe,2025-10-28,Daniel.y,Merge pull request #2272 from HKUDS/dependabot/pip/redis-gte-5.0.0-and-lt-8.0.0,dependabot,15,git cherry-pick 4bf41abe
3a7f7535,2025-10-29,yangdx,Bump core version to 1.4.9.6 and API version to 0248,dependabot,15,git cherry-pick 3a7f7535
da2e9efd,2025-10-29,yangdx,Bump API version to 0247,dependabot,15,git cherry-pick da2e9efd
c9e73bb4,2025-10-30,yangdx,Bump core version to 1.4.9.7 and API version to 0249,dependabot,15,git cherry-pick c9e73bb4
e5414c61,2025-10-31,yangdx,Bump core version to 1.4.9.8 and API version to 0250,dependabot,15,git cherry-pick e5414c61
5bcd2926,2025-11-06,yangdx,Bump API version to 0251,dependabot,15,git cherry-pick 5bcd2926
cf732dbf,2025-11-08,yangdx,Bump core version to 1.4.9.9 and API to 0252,dependabot,15,git cherry-pick cf732dbf
1f9d0735,2025-11-09,yangdx,Bump API version to 0253,dependabot,15,git cherry-pick 1f9d0735
9262f66d,2025-11-17,yangdx,Bump API version to 0255,dependabot,15,git cherry-pick 9262f66d
d16c7840,2025-11-18,yangdx,Bump API version to 0256,dependabot,15,git cherry-pick d16c7840
f83b475a,2025-11-18,yangdx,Remove Dependabot configuration file,dependabot,15,git cherry-pick f83b475a
881b8d3a,2025-11-28,yangdx,Bump API version to 0257,dependabot,15,git cherry-pick 881b8d3a
112ed234,2025-12-01,yangdx,Bump API version to 0258,dependabot,15,git cherry-pick 112ed234
13fc9f33,2025-12-02,yangdx,Reduce dependabot open pull request limits,dependabot,15,git cherry-pick 13fc9f33
381ddfff,2025-12-02,yangdx,Bump API version to 0259,dependabot,15,git cherry-pick 381ddfff
883c5dc0,2025-12-02,yangdx,Update dependabot config with new groupings and patterns,dependabot,15,git cherry-pick 883c5dc0
9425277f,2025-12-02,yangdx,Improve dependabot config with better docs and numpy ignore rule,dependabot,15,git cherry-pick 9425277f
